"","honeycomb","score"
"10934","zacgino",238
"10935","acdelno",1097
"10936","cadelno",1001
"10937","dacelno",1078
"10938","eacdlno",1263
"10939","lacdeno",1014
"10940","nacdelo",1027
"10941","oacdeln",877
"10942","acdgnot",295
"10943","cadgnot",233
"10944","dacgnot",107
"10945","gacdnot",116
"10946","nacdgot",283
"10947","oacdgnt",328
"10948","tacdgno",197
"10949","acdenrt",2382
"10950","cadenrt",1499
"10951","dacenrt",1832
"10952","eacdnrt",2910
"10953","nacdert",1747
"10954","racdent",2362
"10955","tacdenr",2203
"10956","achintx",387
"10957","cahintx",334
"10958","hacintx",176
"10959","iachntx",355
"10960","nachitx",314
"10961","tachinx",361
"10962","xachint",77
"10963","acginot",1292
"10964","caginot",1145
"10965","gacinot",1065
"10966","iacgnot",1598
"10967","nacgiot",1705
"10968","oacgint",1267
"10969","tacgino",1362
"10970","acemnot",817
"10971","caemnot",644
"10972","eacmnot",823
"10973","macenot",575
"10974","nacemot",855
"10975","oacemnt",766
"10976","tacemno",901
"10977","acinprt",1004
"10978","cainprt",671
"10979","iacnprt",879
"10980","naciprt",702
"10981","pacinrt",490
"10982","racinpt",710
"10983","tacinpr",814
"10984","acenotz",570
"10985","caenotz",498
"10986","eacnotz",543
"10987","naceotz",614
"10988","oacentz",527
"10989","tacenoz",608
"10990","zacenot",167
"10991","abcelpr",1294
"10992","bacelpr",656
"10993","cabelpr",652
"10994","eabclpr",1288
"10995","labcepr",1015
"10996","pabcelr",757
"10997","rabcelp",1054
"10998","acdeipt",695
"10999","cadeipt",666
"11000","daceipt",702
"11001","eacdipt",904
"11002","iacdept",734
"11003","pacdeit",533
"11004","tacdeip",735
"11005","acilpry",659
"11006","cailpry",430
"11007","iaclpry",517
"11008","lacipry",544
"11009","pacilry",379
"11010","racilpy",395
"11011","yacilpr",355
"11012","acilptu",516
"11013","cailptu",389
"11014","iaclptu",470
"11015","laciptu",525
"11016","paciltu",362
"11017","tacilpu",373
"11018","uacilpt",219
"11019","acekmpr",764
"11020","caekmpr",418
"11021","eackmpr",778
"11022","kacempr",339
"11023","macekpr",419
"11024","pacekmr",446
"11025","racekmp",801
"11026","aceilpt",1268
"11027","caeilpt",874
"11028","eacilpt",1145
"11029","iacelpt",958
"11030","laceipt",1205
"11031","paceilt",912
"11032","taceilp",1101
"11033","acinopu",225
"11034","cainopu",282
"11035","iacnopu",294
"11036","naciopu",340
"11037","oacinpu",275
"11038","pacinou",188
"11039","uacinop",96
"11040","acfgipr",197
"11041","cafgipr",131
"11042","facgipr",72
"11043","gacfipr",66
"11044","iacfgpr",192
"11045","pacfgir",107
"11046","racfgip",187
"11047","aceinpr",1173
"11048","caeinpr",981
"11049","eacinpr",1400
"11050","iacenpr",1123
"11051","naceipr",881
"11052","paceinr",1103
"11053","raceinp",1341
"11054","aciptvy",197
"11055","caiptvy",174
"11056","iacptvy",191
"11057","pacitvy",111
"11058","tacipvy",195
"11059","vacipty",81
"11060","yaciptv",113
"11061","aceprtu",1233
"11062","caeprtu",776
"11063","eacprtu",1480
"11064","pacertu",883
"11065","raceptu",1447
"11066","tacepru",1190
"11067","uaceprt",588
"11068","acdehpu",315
"11069","cadehpu",287
"11070","dacehpu",337
"11071","eacdhpu",405
"11072","hacdepu",232
"11073","pacdehu",230
"11074","uacdehp",173
"11075","achinpu",199
"11076","cahinpu",219
"11077","hacinpu",149
"11078","iachnpu",203
"11079","nachipu",221
"11080","pachinu",143
"11081","uachinp",121
"11082","abceinr",1031
"11083","baceinr",693
"11084","cabeinr",826
"11085","eabcinr",976
"11086","iabcenr",872
"11087","nabceir",744
"11088","rabcein",1071
"11089","acdelor",1364
"11090","cadelor",1286
"11091","dacelor",1522
"11092","eacdlor",1878
"11093","lacdeor",1266
"11094","oacdelr",1202
"11095","racdelo",1624
"11096","abclmor",622
"11097","baclmor",371
"11098","cablmor",385
"11099","labcmor",422
"11100","mabclor",333
"11101","oabclmr",543
"11102","rabclmo",402
"11103","acginrv",668
"11104","caginrv",354
"11105","gacinrv",576
"11106","iacgnrv",724
"11107","nacgirv",695
"11108","racginv",554
"11109","vacginr",286
"11110","abchlor",630
"11111","bachlor",312
"11112","cabhlor",456
"11113","habclor",337
"11114","labchor",439
"11115","oabchlr",534
"11116","rabchlo",376
"11117","abcemrt",1300
"11118","bacemrt",567
"11119","cabemrt",675
"11120","eabcmrt",1352
"11121","mabcert",638
"11122","rabcemt",1316
"11123","tabcemr",990
"11124","abclmry",409
"11125","baclmry",193
"11126","cablmry",204
"11127","labcmry",260
"11128","mabclry",208
"11129","rabclmy",244
"11130","yabclmr",233
"11131","abcinor",684
"11132","bacinor",557
"11133","cabinor",708
"11134","iabcnor",583
"11135","nabcior",645
"11136","oabcinr",633
"11137","rabcino",603
"11138","abcdnor",537
"11139","bacdnor",384
"11140","cabdnor",382
"11141","dabcnor",290
"11142","nabcdor",414
"11143","oabcdnr",517
"11144","rabcdno",447
"11145","abclnru",469
"11146","baclnru",222
"11147","cablnru",271
"11148","labcnru",332
"11149","nabclru",282
"11150","rabclnu",300
"11151","uabclnr",325
"11152","acdmnor",551
"11153","cadmnor",337
"11154","dacmnor",331
"11155","macdnor",413
"11156","nacdmor",468
"11157","oacdmnr",531
"11158","racdmno",430
"11159","acdilnr",748
"11160","cadilnr",522
"11161","dacilnr",416
"11162","iacdlnr",672
"11163","lacdinr",423
"11164","nacdilr",464
"11165","racdiln",437
"11166","aceflru",768
"11167","caeflru",565
"11168","eacflru",856
"11169","facelru",565
"11170","lacefru",784
"11171","raceflu",856
"11172","uaceflr",518
"11173","acegirv",597
"11174","caegirv",371
"11175","eacgirv",735
"11176","gaceirv",353
"11177","iacegrv",501
"11178","racegiv",768
"11179","vacegir",412
"11180","aceknrt",1398
"11181","caeknrt",883
"11182","eacknrt",1428
"11183","kacenrt",411
"11184","nacekrt",918
"11185","raceknt",1375
"11186","taceknr",1290
"11187","acekort",1034
"11188","caekort",957
"11189","eackort",1154
"11190","kaceort",467
"11191","oacekrt",740
"11192","racekot",1306
"11193","tacekor",1140
"11194","acenorw",469
"11195","caenorw",464
"11196","eacnorw",547
"11197","naceorw",511
"11198","oacenrw",429
"11199","racenow",610
"11200","wacenor",242
"11201","abcioru",363
"11202","bacioru",283
"11203","cabioru",333
"11204","iabcoru",243
"11205","oabciru",278
"11206","rabciou",348
"11207","uabcior",163
"11208","aceirtu",1158
"11209","caeirtu",1035
"11210","eacirtu",1362
"11211","iacertu",911
"11212","raceitu",1507
"11213","taceiru",1311
"11214","uaceirt",518
"11215","acilnor",881
"11216","cailnor",908
"11217","iaclnor",749
"11218","lacinor",730
"11219","nacilor",765
"11220","oacilnr",742
"11221","racilno",511
"11222","aceilnr",1474
"11223","caeilnr",1235
"11224","eacilnr",1458
"11225","iacelnr",1198
"11226","laceinr",1239
"11227","naceilr",1106
"11228","raceiln",1203
"11229","acgilnr",1104
"11230","cagilnr",565
"11231","gacilnr",951
"11232","iacglnr",1152
"11233","lacginr",813
"11234","nacgilr",1076
"11235","racgiln",636
"11236","aceimnr",1114
"11237","caeimnr",806
"11238","eacimnr",1085
"11239","iacemnr",873
"11240","maceinr",801
"11241","naceimr",785
"11242","raceimn",991
"11243","acfinry",315
"11244","cafinry",229
"11245","facinry",144
"11246","iacfnry",244
"11247","nacfiry",224
"11248","racfiny",231
"11249","yacfinr",162
"11250","acilnrv",656
"11251","cailnrv",454
"11252","iaclnrv",553
"11253","lacinrv",478
"11254","nacilrv",410
"11255","racilnv",312
"11256","vacilnr",326
"11257","acinorv",425
"11258","cainorv",451
"11259","iacnorv",422
"11260","naciorv",455
"11261","oacinrv",353
"11262","racinov",343
"11263","vacinor",189
"11264","acdiort",754
"11265","cadiort",697
"11266","daciort",505
"11267","iacdort",728
"11268","oacdirt",639
"11269","racdiot",707
"11270","tacdior",700
"11271","acelpry",1114
"11272","caelpry",603
"11273","eaclpry",1132
"11274","lacepry",874
"11275","pacelry",803
"11276","racelpy",1013
"11277","yacelpr",554
"11278","acenprt",1964
"11279","caenprt",1106
"11280","eacnprt",2173
"11281","naceprt",1351
"11282","pacenrt",1150
"11283","racenpt",1895
"11284","tacenpr",1831
"11285","acdeprt",2114
"11286","cadeprt",1046
"11287","daceprt",1519
"11288","eacdprt",2459
"11289","pacdert",1233
"11290","racdept",2241
"11291","tacdepr",1661
"11292","acginpr",795
"11293","caginpr",384
"11294","gacinpr",727
"11295","iacgnpr",934
"11296","nacgipr",881
"11297","pacginr",511
"11298","racginp",662
"11299","acelopr",1116
"11300","caelopr",826
"11301","eaclopr",1216
"11302","laceopr",1040
"11303","oacelpr",773
"11304","pacelor",940
"11305","racelop",1210
"11306","acehopr",754
"11307","caehopr",759
"11308","eachopr",862
"11309","haceopr",598
"11310","oacehpr",602
"11311","pacehor",697
"11312","racehop",927
"11313","aceghnr",801
"11314","caeghnr",463
"11315","eacghnr",770
"11316","gacehnr",519
"11317","hacegnr",326
"11318","naceghr",551
"11319","raceghn",766
"11320","aceforu",299
"11321","caeforu",320
"11322","eacforu",444
"11323","faceoru",297
"11324","oacefru",282
"11325","racefou",503
"11326","uacefor",170
"11327","acginry",592
"11328","caginry",301
"11329","gacinry",518
"11330","iacgnry",568
"11331","nacgiry",631
"11332","racginy",517
"11333","yacginr",206
"11334","aceorvy",225
"11335","caeorvy",251
"11336","eacorvy",345
"11337","oacervy",196
"11338","raceovy",368
"11339","vaceory",182
"11340","yaceorv",124
"11341","acdlort",552
"11342","cadlort",388
"11343","daclort",178
"11344","lacdort",356
"11345","oacdlrt",513
"11346","racdlot",426
"11347","tacdlor",381
"11348","acnorty",847
"11349","canorty",607
"11350","nacorty",695
"11351","oacnrty",719
"11352","racnoty",713
"11353","tacnory",727
"11354","yacnort",341
"11355","achortu",567
"11356","cahortu",567
"11357","hacortu",423
"11358","oachrtu",586
"11359","rachotu",587
"11360","tachoru",561
"11361","uachort",345
"11362","aclrtuy",463
"11363","calrtuy",278
"11364","lacrtuy",337
"11365","racltuy",376
"11366","taclruy",299
"11367","uaclrty",269
"11368","yaclrtu",276
"11369","acelnru",1100
"11370","caelnru",880
"11371","eaclnru",1041
"11372","lacenru",1010
"11373","nacelru",830
"11374","racelnu",958
"11375","uacelnr",686
"11376","aceltyz",409
"11377","caeltyz",259
"11378","eacltyz",391
"11379","lacetyz",399
"11380","tacelyz",314
"11381","yaceltz",207
"11382","zacelty",58
"11383","acmnotu",438
"11384","camnotu",309
"11385","macnotu",302
"11386","nacmotu",443
"11387","oacmntu",464
"11388","tacmnou",418
"11389","uacmnot",231
"11390","achoprt",662
"11391","cahoprt",541
"11392","hacoprt",434
"11393","oachprt",666
"11394","pachort",429
"11395","rachopt",631
"11396","tachopr",626
"11397","achlrty",503
"11398","cahlrty",284
"11399","haclrty",253
"11400","lachrty",283
"11401","rachlty",304
"11402","tachlry",301
"11403","yachlrt",214
"11404","abcdirt",554
"11405","bacdirt",232
"11406","cabdirt",441
"11407","dabcirt",273
"11408","iabcdrt",479
"11409","rabcdit",443
"11410","tabcdir",354
"11411","acfhlty",296
"11412","cafhlty",168
"11413","fachlty",97
"11414","hacflty",161
"11415","lacfhty",203
"11416","tacfhly",173
"11417","yacfhlt",138
"11418","achlopt",616
"11419","cahlopt",491
"11420","haclopt",461
"11421","lachopt",533
"11422","oachlpt",568
"11423","pachlot",303
"11424","tachlop",445
"11425","acehitz",300
"11426","caehitz",330
"11427","eachitz",296
"11428","haceitz",275
"11429","iacehtz",216
"11430","tacehiz",390
"11431","zacehit",75
"11432","acehlot",1050
"11433","caehlot",918
"11434","eachlot",833
"11435","hacelot",778
"11436","lacehot",954
"11437","oacehlt",710
"11438","tacehlo",911
"11439","acenrty",1398
"11440","caenrty",831
"11441","eacnrty",1405
"11442","nacerty",1061
"11443","racenty",1379
"11444","tacenry",1347
"11445","yacenrt",420
"11446","acfgint",670
"11447","cafgint",373
"11448","facgint",237
"11449","gacfint",521
"11450","iacfgnt",783
"11451","nacfgit",755
"11452","tacfgin",585
"11453","acfghit",164
"11454","cafghit",149
"11455","facghit",87
"11456","gacfhit",54
"11457","hacfgit",137
"11458","iacfght",180
"11459","tacfghi",180
"11460","acdehrt",2255
"11461","cadehrt",1514
"11462","dacehrt",1572
"11463","eacdhrt",2524
"11464","hacdert",1345
"11465","racdeht",2187
"11466","tacdehr",1924
"11467","acdhlot",492
"11468","cadhlot",370
"11469","dachlot",111
"11470","hacdlot",373
"11471","lacdhot",416
"11472","oacdhlt",457
"11473","tacdhlo",310
"11474","acdehot",627
"11475","cadehot",640
"11476","dacehot",586
"11477","eacdhot",770
"11478","hacdeot",568
"11479","oacdeht",445
"11480","tacdeho",643
"11481","acdhiot",337
"11482","cadhiot",418
"11483","dachiot",252
"11484","hacdiot",202
"11485","iacdhot",336
"11486","oacdhit",325
"11487","tacdhio",330
"11488","achilot",809
"11489","cahilot",839
"11490","hacilot",652
"11491","iachlot",656
"11492","lachiot",877
"11493","oachilt",688
"11494","tachilo",735
"11495","aceiklt",700
"11496","caeiklt",613
"11497","eaciklt",666
"11498","iaceklt",647
"11499","kaceilt",303
"11500","laceikt",765
"11501","taceikl",663
"11502","acdenpt",1124
"11503","cadenpt",628
"11504","dacenpt",879
"11505","eacdnpt",1323
"11506","nacdept",1057
"11507","pacdent",664
"11508","tacdenp",930
"11509","acelmnt",1115
"11510","caelmnt",532
"11511","eaclmnt",1023
"11512","lacemnt",806
"11513","macelnt",549
"11514","nacelmt",773
"11515","tacelmn",866
"11516","acdilou",393
"11517","cadilou",375
"11518","dacilou",324
"11519","iacdlou",351
"11520","lacdiou",378
"11521","oacdilu",304
"11522","uacdilo",168
"11523","acdeklu",412
"11524","cadeklu",399
"11525","daceklu",534
"11526","eacdklu",610
"11527","kacdelu",229
"11528","lacdeku",527
"11529","uacdekl",312
"11530","aceklru",586
"11531","caeklru",515
"11532","eacklru",605
"11533","kacelru",289
"11534","lacekru",552
"11535","raceklu",623
"11536","uaceklr",327
"11537","acertuy",747
"11538","caertuy",545
"11539","eacrtuy",793
"11540","racetuy",880
"11541","taceruy",778
"11542","uacerty",352
"11543","yacertu",207
"11544","acelorv",845
"11545","caelorv",731
"11546","eaclorv",982
"11547","laceorv",939
"11548","oacelrv",631
"11549","racelov",950
"11550","vacelor",601
"11551","aceiltv",923
"11552","caeiltv",724
"11553","eaciltv",813
"11554","iaceltv",808
"11555","laceitv",864
"11556","taceilv",825
"11557","vaceilt",492
"11558","aceilrv",1145
"11559","caeilrv",834
"11560","eacilrv",1332
"11561","iacelrv",1036
"11562","laceirv",1137
"11563","raceilv",1299
"11564","vaceilr",896
"11565","aceintv",974
"11566","caeintv",711
"11567","eacintv",880
"11568","iacentv",930
"11569","naceitv",908
"11570","taceinv",967
"11571","vaceint",536
"11572","aceortv",1013
"11573","caeortv",902
"11574","eacortv",1276
"11575","oacertv",878
"11576","raceotv",1349
"11577","taceorv",1247
"11578","vaceort",505
"11579","aceiklv",391
"11580","caeiklv",307
"11581","eaciklv",333
"11582","iaceklv",336
"11583","kaceilv",196
"11584","laceikv",452
"11585","vaceikl",223
"11586","acdeilv",798
"11587","cadeilv",567
"11588","daceilv",833
"11589","eacdilv",960
"11590","iacdelv",725
"11591","lacdeiv",833
"11592","vacdeil",475
"11593","acirtvy",368
"11594","cairtvy",285
"11595","iacrtvy",311
"11596","racitvy",297
"11597","tacirvy",324
"11598","vacirty",142
"11599","yacirtv",130
"11600","aceiquz",59
"11601","caeiquz",52
"11602","eaciquz",55
"11603","iacequz",47
"11604","qaceiuz",47
"11605","uaceiqz",47
"11606","zaceiqu",15
"11607","acdeorw",702
"11608","cadeorw",598
"11609","daceorw",1127
"11610","eacdorw",1219
"11611","oacderw",676
"11612","racdeow",1121
"11613","wacdeor",469
"11614","cdegiln",347
"11615","dcegiln",783
"11616","ecdgiln",942
"11617","gcdeiln",741
"11618","icdegln",1030
"11619","lcdegin",713
"11620","ncdegil",843
"11621","ceinrtu",812
"11622","ecinrtu",1491
"11623","icenrtu",1125
"11624","nceirtu",1114
"11625","rceintu",1443
"11626","tceinru",1375
"11627","uceinrt",739
"11628","ceilrty",545
"11629","ecilrty",847
"11630","icelrty",726
"11631","lceirty",655
"11632","rceilty",758
"11633","tceilry",711
"11634","yceilrt",295
"11635","abceily",603
"11636","baceily",410
"11637","cabeily",425
"11638","eabcily",445
"11639","iabcely",449
"11640","labceiy",678
"11641","yabceil",301
"11642","cdeilno",859
"11643","dceilno",994
"11644","ecdilno",1144
"11645","icdelno",946
"11646","lcdeino",838
"11647","ncdeilo",869
"11648","ocdeiln",988
"11649","cdeilou",552
"11650","dceilou",707
"11651","ecdilou",707
"11652","icdelou",447
"11653","lcdeiou",595
"11654","ocdeilu",486
"11655","ucdeilo",306
"11656","abcelmo",576
"11657","bacelmo",419
"11658","cabelmo",401
"11659","eabclmo",443
"11660","labcemo",506
"11661","mabcelo",388
"11662","oabcelm",417
"11663","cegimnt",245
"11664","ecgimnt",510
"11665","gceimnt",358
"11666","icegmnt",599
"11667","mcegint",345
"11668","ncegimt",577
"11669","tcegimn",468
"11670","acenrtu",1446
"11671","caenrtu",1011
"11672","eacnrtu",1707
"11673","nacertu",1188
"11674","racentu",1621
"11675","tacenru",1636
"11676","uacenrt",692
"11677","acenotv",599
"11678","caenotv",556
"11679","eacnotv",597
"11680","naceotv",637
"11681","oacentv",551
"11682","tacenov",653
"11683","vacenot",212
"11684","ceginrt",644
"11685","ecginrt",1692
"11686","gceinrt",1064
"11687","icegnrt",1612
"11688","ncegirt",1553
"11689","rcegint",1640
"11690","tceginr",1427
"11691","ceilnrt",831
"11692","ecilnrt",1615
"11693","icelnrt",1370
"11694","lceinrt",845
"11695","nceilrt",1045
"11696","rceilnt",1308
"11697","tceilnr",1373
"11698","ceinprt",940
"11699","ecinprt",1852
"11700","icenprt",1518
"11701","nceiprt",1209
"11702","pceinrt",1072
"11703","rceinpt",1633
"11704","tceinpr",1435
"11705","ceilnot",989
"11706","ecilnot",1059
"11707","icelnot",1134
"11708","lceinot",864
"11709","nceilot",1069
"11710","oceilnt",1022
"11711","tceilno",1049
"11712","ceimnrt",667
"11713","ecimnrt",1575
"11714","icemnrt",1298
"11715","mceinrt",755
"11716","nceimrt",991
"11717","rceimnt",1344
"11718","tceimnr",1361
"11719","ceimnot",847
"11720","ecimnot",967
"11721","icemnot",924
"11722","mceinot",702
"11723","nceimot",1020
"11724","oceimnt",986
"11725","tceimno",980
"11726","cdeinpt",434
"11727","dceinpt",792
"11728","ecdinpt",1074
"11729","icdenpt",853
"11730","ncdeipt",747
"11731","pcdeint",526
"11732","tcdeinp",750
"11733","ceinrty",519
"11734","ecinrty",1036
"11735","icenrty",852
"11736","nceirty",802
"11737","rceinty",960
"11738","tceinry",986
"11739","yceinrt",242
"11740","cemnort",782
"11741","ecmnort",1402
"11742","mcenort",668
"11743","ncemort",973
"11744","ocemnrt",1203
"11745","rcemnot",1187
"11746","tcemnor",1217
"11747","cemnrtu",315
"11748","ecmnrtu",798
"11749","mcenrtu",316
"11750","ncemrtu",471
"11751","rcemntu",683
"11752","tcemnru",645
"11753","ucemnrt",473
"11754","celnptu",178
"11755","eclnptu",367
"11756","lcenptu",252
"11757","ncelptu",218
"11758","pcelntu",189
"11759","tcelnpu",295
"11760","ucelnpt",266
"11761","cenrtuy",239
"11762","ecnrtuy",624
"11763","ncertuy",449
"11764","rcentuy",570
"11765","tcenruy",570
"11766","ucenrty",391
"11767","ycenrtu",167
"11768","acdehlp",850
"11769","cadehlp",470
"11770","dacehlp",620
"11771","eacdhlp",887
"11772","hacdelp",424
"11773","lacdehp",730
"11774","pacdehl",514
"11775","acehilp",732
"11776","caehilp",629
"11777","eachilp",567
"11778","haceilp",427
"11779","iacehlp",511
"11780","lacehip",758
"11781","pacehil",489
"11782","bcelmru",420
"11783","cbelmru",255
"11784","ebclmru",597
"11785","lbcemru",380
"11786","mbcelru",367
"11787","rbcelmu",510
"11788","ubcelmr",516
"11789","abcelry",1045
"11790","bacelry",648
"11791","cabelry",557
"11792","eabclry",989
"11793","labcery",852
"11794","rabcely",883
"11795","yabcelr",500
"11796","cehlort",673
"11797","echlort",1031
"11798","hcelort",573
"11799","lcehort",535
"11800","ocehlrt",901
"11801","rcehlot",938
"11802","tcehlor",872
"11803","cemnory",325
"11804","ecmnory",431
"11805","mcenory",330
"11806","ncemory",327
"11807","ocemnry",446
"11808","rcemnoy",375
"11809","ycemnor",201
"11810","ceoprty",454
"11811","ecoprty",962
"11812","oceprty",769
"11813","pceorty",671
"11814","rceopty",890
"11815","tceopry",747
"11816","yceoprt",371
"11817","cdefirt",745
"11818","dcefirt",1166
"11819","ecdfirt",1683
"11820","fcdeirt",756
"11821","icdefrt",1217
"11822","rcdefit",1421
"11823","tcdefir",1038
"11824","cefirty",293
"11825","ecfirty",677
"11826","fceirty",409
"11827","icefrty",512
"11828","rcefity",677
"11829","tcefiry",515
"11830","ycefirt",171
"11831","cdeirtu",964
"11832","dceirtu",1110
"11833","ecdirtu",1551
"11834","icdertu",1016
"11835","rcdeitu",1317
"11836","tcdeiru",1021
"11837","ucdeirt",647
"11838","acelrtv",1365
"11839","caelrtv",804
"11840","eaclrtv",1504
"11841","lacertv",1029
"11842","raceltv",1336
"11843","tacelrv",1090
"11844","vacelrt",530
"11845","cegloty",225
"11846","ecgloty",252
"11847","gceloty",216
"11848","lcegoty",353
"11849","oceglty",336
"11850","tcegloy",201
"11851","yceglot",253
"11852","abchkou",172
"11853","bachkou",150
"11854","cabhkou",178
"11855","habckou",141
"11856","kabchou",134
"11857","oabchku",179
"11858","uabchko",100
"11859","acdhimr",466
"11860","cadhimr",375
"11861","dachimr",315
"11862","hacdimr",233
"11863","iacdhmr",359
"11864","macdhir",297
"11865","racdhim",346
"11866","acdefhr",845
"11867","cadefhr",597
"11868","dacefhr",831
"11869","eacdfhr",1083
"11870","facdehr",378
"11871","hacdefr",434
"11872","racdefh",919
"11873","acefhir",575
"11874","caefhir",544
"11875","eacfhir",729
"11876","facehir",394
"11877","hacefir",312
"11878","iacefhr",544
"11879","racefhi",770
"11880","acfghin",365
"11881","cafghin",292
"11882","facghin",169
"11883","gacfhin",378
"11884","hacfgin",243
"11885","iacfghn",441
"11886","nacfghi",456
"11887","acdehin",680
"11888","cadehin",681
"11889","dacehin",745
"11890","eacdhin",791
"11891","hacdein",400
"11892","iacdehn",626
"11893","nacdehi",647
"11894","acehimn",559
"11895","caehimn",483
"11896","eachimn",483
"11897","haceimn",299
"11898","iacehmn",527
"11899","macehin",485
"11900","nacehim",534
"11901","acdehir",1196
"11902","cadehir",1053
"11903","dacehir",1313
"11904","eacdhir",1566
"11905","hacdeir",706
"11906","iacdehr",1010
"11907","racdehi",1455
"11908","achimnr",489
"11909","cahimnr",375
"11910","hacimnr",223
"11911","iachmnr",399
"11912","machinr",304
"11913","nachimr",346
"11914","rachimn",313
"11915","acdehil",851
"11916","cadehil",751
"11917","dacehil",801
"11918","eacdhil",952
"11919","hacdeil",525
"11920","iacdehl",717
"11921","lacdehi",891
"11922","acdehkl",596
"11923","cadehkl",453
"11924","dacehkl",509
"11925","eacdhkl",685
"11926","hacdekl",407
"11927","kacdehl",296
"11928","lacdehk",555
"11929","aceghln",558
"11930","caeghln",349
"11931","eacghln",431
"11932","gacehln",219
"11933","hacegln",235
"11934","laceghn",465
"11935","naceghl",342
"11936","acehlno",749
"11937","caehlno",725
"11938","eachlno",517
"11939","hacelno",463
"11940","lacehno",681
"11941","nacehlo",527
"11942","oacehln",558
"11943","achltuz",214
"11944","cahltuz",172
"11945","hacltuz",190
"11946","lachtuz",181
"11947","tachluz",131
"11948","uachltz",109
"11949","zachltu",52
"11950","abchmry",241
"11951","bachmry",105
"11952","cabhmry",145
"11953","habcmry",96
"11954","mabchry",137
"11955","rabchmy",179
"11956","yabchmr",139
"11957","acefhmr",545
"11958","caefhmr",371
"11959","eacfhmr",601
"11960","facehmr",194
"11961","hacefmr",250
"11962","macefhr",354
"11963","racefhm",578
"11964","acdehim",541
"11965","cadehim",447
"11966","dacehim",571
"11967","eacdhim",584
"11968","hacdeim",255
"11969","iacdehm",454
"11970","macdehi",424
"11971","achimox",158
"11972","cahimox",184
"11973","hacimox",108
"11974","iachmox",137
"11975","machiox",149
"11976","oachimx",155
"11977","xachimo",53
"11978","acdehmp",423
"11979","cadehmp",281
"11980","dacehmp",371
"11981","eacdhmp",430
"11982","hacdemp",245
"11983","macdehp",230
"11984","pacdehm",218
"11985","acehmpr",805
"11986","caehmpr",489
"11987","eachmpr",841
"11988","hacempr",396
"11989","macehpr",434
"11990","pacehmr",479
"11991","racehmp",814
"11992","acehnry",528
"11993","caehnry",436
"11994","eachnry",482
"11995","hacenry",293
"11996","nacehry",351
"11997","racehny",493
"11998","yacehnr",251
"11999","achilny",499
"12000","cahilny",474
"12001","hacilny",233
"12002","iachlny",463
"12003","lachiny",505
"12004","nachily",350
"12005","yachiln",285
"12006","acdehln",1013
"12007","cadehln",667
"12008","dacehln",775
"12009","eacdhln",1011
"12010","hacdeln",479
"12011","lacdehn",807
"12012","nacdehl",654
"12013","acfhnor",319
"12014","cafhnor",326
"12015","fachnor",57
"12016","hacfnor",219
"12017","nacfhor",249
"12018","oacfhnr",318
"12019","racfhno",236
"12020","acdeghn",494
"12021","cadeghn",260
"12022","daceghn",438
"12023","eacdghn",502
"12024","gacdehn",224
"12025","hacdegn",247
"12026","nacdegh",315
"12027","acehlnr",935
"12028","caehlnr",772
"12029","eachlnr",870
"12030","hacelnr",417
"12031","lacehnr",682
"12032","nacehlr",541
"12033","racehln",683
"12034","aceghnt",576
"12035","caeghnt",362
"12036","eacghnt",554
"12037","gacehnt",183
"12038","hacegnt",340
"12039","naceght",458
"12040","taceghn",532
"12041","acdehnt",1056
"12042","cadehnt",755
"12043","dacehnt",802
"12044","eacdhnt",1190
"12045","hacdent",549
"12046","nacdeht",776
"12047","tacdehn",937
"12048","acehnty",553
"12049","caehnty",430
"12050","eachnty",537
"12051","hacenty",384
"12052","nacehty",414
"12053","tacehny",552
"12054","yacehnt",208
"12055","achnort",828
"12056","cahnort",713
"12057","hacnort",398
"12058","nachort",596
"12059","oachnrt",795
"12060","rachnot",712
"12061","tachnor",716
"12062","achnrty",473
"12063","cahnrty",287
"12064","hacnrty",194
"12065","nachrty",253
"12066","rachnty",321
"12067","tachnry",325
"12068","yachnrt",213
"12069","abchkop",196
"12070","bachkop",116
"12071","cabhkop",153
"12072","habckop",116
"12073","kabchop",138
"12074","oabchkp",200
"12075","pabchko",100
"12076","acehpux",125
"12077","caehpux",112
"12078","eachpux",112
"12079","hacepux",103
"12080","pacehux",111
"12081","uacehpx",61
"12082","xacehpu",23
"12083","achilnp",553
"12084","cahilnp",437
"12085","hacilnp",257
"12086","iachlnp",500
"12087","lachinp",508
"12088","nachilp",333
"12089","pachiln",312
"12090","acehlpt",1046
"12091","caehlpt",638
"12092","eachlpt",941
"12093","hacelpt",543
"12094","lacehpt",804
"12095","pacehlt",553
"12096","tacehlp",770
"12097","acghinp",415
"12098","caghinp",287
"12099","gachinp",458
"12100","hacginp",249
"12101","iacghnp",562
"12102","nacghip",571
"12103","pacghin",290
"12104","acehprt",1680
"12105","caehprt",1066
"12106","eachprt",1767
"12107","haceprt",926
"12108","pacehrt",867
"12109","racehpt",1630
"12110","tacehpr",1467
"12111","acehqtu",259
"12112","caehqtu",255
"12113","eachqtu",267
"12114","haceqtu",240
"12115","qacehtu",58
"12116","tacehqu",283
"12117","uacehqt",137
"12118","acehrty",1301
"12119","caehrty",974
"12120","eachrty",1323
"12121","hacerty",920
"12122","racehty",1268
"12123","tacehry",1264
"12124","yacehrt",421
"12125","acdeghr",1087
"12126","cadeghr",527
"12127","daceghr",1013
